drug_name,num_prescriber,total_cost
XIFAXAN,6705,233482363.17999923
BACIIM,1,1486.23
INSUPEN,202,75547.07999999996
FENOPROFEN CALCIUM,42,108357.81000000001
VIMPAT,10216,251927907.47999978
VENTAVIS,1,221825.67
CEFEPIME HCL,1144,3697039.87
ALREX,1072,6502059.309999997
ACTONEL,2584,11953954.229999991
CEREZYME,22,7801002.529999999
FOSCARNET SODIUM,2,6363.370000000001
JOLIVETTE,115,26456.700000000008
ANADROL-50,10,670120.0499999999
ZYDELIG,138,16264155.510000005
GEMCITABINE HCL,50,787709.93
PROCARDIA,3,9243.09
NYSTATIN-TRIAMCINOLONE,10190,30924336.240000013
PROCHLORPERAZINE MALEATE,14354,2861137.049999996
ESTRING,1267,7534717.59
VIRACEPT,442,6792112.480000002
METHADOSE,23,16695.75
AURYXIA,193,3481650.49
TASIGNA,1228,175208540.91999984
CORDARONE,13,27354.500000000004
ZIPRASIDONE HCL,22262,92973795.41999981
MONOJECT INSULIN SAFETY SYRNG,493,447084.97999999975
EASY-TOUCH INSULIN SYRINGE,502,178231.55000000022
PHOSPHA 250 NEUTRAL,569,344589.9999999999
DENTAGEL,151,19152.549999999992
GLUCOPRO,1,161.99
NEBUPENT,1,1627.58
PRED-G,6,21306.74
RAGWITEK,2,6018.72
CROMOLYN SODIUM,1518,1927810.3599999973
CYPROHEPTADINE HCL,3428,2541350.53
DYSPORT,4,105380.79000000001
SOLODYN,15,188789.32000000007
METOPROLOL-HYDROCHLOROTHIAZIDE,1839,1390480.5300000021
FERRIPROX,32,5430502.760000001
OFLOXACIN,10842,16674455.620000018
PAXIL,460,1470459.7699999993
BUSPIRONE HCL,70623,46687171.800000444
QUALAQUIN,7,21585.63
FLECAINIDE ACETATE,15192,27493144.369999863
POLYMYXIN B SUL-TRIMETHOPRIM,2953,1369083.5399999998
RELION PEN NEEDLES,108,29892.519999999975
EMEND,392,5887480.049999998
SULFACETAMIDE-PREDNISOLONE,170,128821.80000000005
1ST TIER UNIFINE PENTIPS,88,34149.78999999999
COMBIGAN,19889,185560367.45000097
CEFAZOLIN,7,7886.31
MENVEO A-C-Y-W-135-DIP,6,19104.5
COMPRO,109,167059.91
LEUPROLIDE ACETATE,3,33264.14
NORETHIN-ETH ESTRA FERROUS FUM,22,6134.69
TIMOPTIC,27,57231.68999999999
SYMLINPEN 120,276,5760760.319999999
XODOL 10-300,4,32526.07
AVONEX ADMINISTRATION PACK,250,19945591.21
PORTIA,129,32866.310000000005
ULTILET ALCOHOL SWAB,3,68.07000000000001
CARTIA XT,48210,44727054.62999969
DIFLUNISAL,982,1884714.1200000006
NOXAFIL,177,18884674.650000002
CYRAMZA,11,1172355.5699999998
EDURANT,676,13266247.479999986
DICLOFENAC SODIUM-MISOPROSTOL,2253,5647009.699999991
CARBATROL,1145,4268837.020000002
GLIPIZIDE ER,55140,32221348.57999971
SIGNIFOR LAR,1,129888.96
STAVUDINE,279,395152.31999999995
HYQVIA,27,2247318.89
MEKINIST,99,17547280.409999996
VICOPROFEN,5,17233.800000000003
ISENTRESS,5241,367259871.220001
GAUZE PADS,1,114.7
ZATEAN-PN,1,522.52
CLEOCIN,1,3502.62
BINOSTO,100,420712.2800000001
BELVIQ,1,2249.68
VGO 40,491,3109470.08
SPORANOX,46,1437723.2899999998
HYDREA,21,21606.72
NOVOFINE AUTOCOVER,3723,6613782.37
VASELINE PETROLEUM,1,98.64
TRI-PREVIFEM,422,83727.08999999991
METHYLERGONOVINE MALEATE,25,932370.2899999999
MARCAINE,3,498.74
SKLICE,2,16188.89
PREMARIN,45292,230721947.5300018
PREVACID,3290,21328259.13000002
NEOMYCIN-POLYMYXIN-HC,2523,1722551.380000005
PHILITH,12,3883.6
XEOMIN,6,220717.24
AMINOSYN II,13,18746.19
ZIAC,44,95507.43000000001
PIPERACILLIN-TAZOBACTAM,667,2220291.3800000004
ETODOLAC,11687,18975775.810000017
HEALTHY ACCENTS UNIFINE PENTIP,89,37947.45000000001
MORPHINE SULFATE ER,55660,287889389.71000165
SANCUSO,153,3776177.7700000005
HUMIRA PEN,8127,1013755194.3499982
SALSALATE,521,1508232.1999999993
ITRACONAZOLE,491,4286351.500000005
URIN D.S.,62,18447.31
CAYSTON,92,11308277.63
TOBREX,70,152277.24
LEVAQUIN,7,36362.759999999995
PIROXICAM,3572,6078161.889999999
PRED MILD,148,490972.4099999999
ONGLYZA,17850,171745870.23999977
ORTHO-CYCLEN,3,1440.0500000000002
CORTISPORIN-TC,6,11448.64
ENJUVIA,88,105228.45999999993
ACTHIB,1,164.55
FENTANYL,61048,295767483.7999986
BUTORPHANOL TARTRATE,1487,2500331.8800000027
PRAMIPEXOLE ER,128,1065430.4699999997
ULTICARE,3692,2928965.0600000047
CLINIMIX E,13,97215.19
GAVILYTE-H AND BISACODYL,9,7534.879999999999
TELMISARTAN-AMLODIPINE,146,269526.07
XOPENEX CONCENTRATE,2,10241.9
HYDROXYCHLOROQUINE SULFATE,21921,272036619.15999895
PROCRIT,3913,119539669.7599999
DRONABINOL,3121,24938697.079999983
ZAVESCA,10,3125058.72
LOTRISONE,3,5162.280000000001
CEFTAZIDIME,215,482481.60000000003
QVAR,22586,110512475.24999987
MULTI-VITAMIN WITH FLUORIDE,1,167.53
GLYSET,236,813456.8199999997
TETRABENAZINE,28,3321849.2099999995
ALENDRONATE SODIUM,132527,61912351.61000019
ALCOHOL PREP PADS,8813,8656163.060000006
CRINONE,5,9572.15
FENTORA,88,17953060.470000003
VEXOL,50,96959.58000000002
IVERMECTIN,515,419394.2199999996
AUTOSHIELD DUO PEN NEEDLE,2112,2788628.0099999984
LORAZEPAM,154603,72870430.37000036
THIORIDAZINE HCL,4004,3381621.4299999983
MAVIK,11,9735.730000000001
DOLOPHINE HCL,3,5967.63
TAZTIA XT,8558,5165430.789999989
ACTEMRA,545,30016468.70999998
VASERETIC,12,58327.17999999999
METAPROTERENOL SULFATE,49,41102.51
SINGULAIR,1167,3546980.9499999993
GRIS-PEG,3,10481.26
PRILOSEC,178,919236.7799999998
MENACTRA,19,59781.14
SPS,2004,2585420.1299999957
PROCTOFOAM-HC,73,154122.00000000006
PANCREAZE,256,2096004.5699999998
MONO-LINYAH,208,37303.939999999995
THINPRO INSULIN SYRINGE,5,1159.37
PROMETHAZINE HCL,37657,11703812.690000053
LESSINA,32,6473.719999999999
RITUXAN,111,18469734.220000003
FINACEA,990,4654071.989999997
ADVICOR,253,921404.6400000004
SULFASALAZINE,8957,7093684.010000013
AMOXICILLIN-CLAVULANATE POTASS,98181,38165835.07000087
CARDIZEM CD,223,3518718.0599999996
PLAVIX,2453,8342366.419999985
HARVONI,5202,5992222543.539986
ZYCLARA,38,793944.35
VITAMEDMD PLUS RX,1,1415.54
EXTRA-VIRT PLUS DHA,1,790.7
TASMAR,37,4879380.239999999
EXFORGE HCT,688,2618526.6200000006
DUETACT,11,64786.48999999999
AMINO ACIDS,6,5674.74
ARAVA,17,285247.08
STALEVO 50,11,93252.96999999999
SENSIPAR,14142,866719403.6099986
TARCEVA,2151,301390657.5399996
XARTEMIS XR,42,187856.98
DARAPRIM,46,4853473.409999999
HUMALOG MIX 50-50,639,9949565.059999999
LETAIRIS,1539,427119831.580001
CETIRIZINE HCL,330,102066.67999999989
PENLAC,3,11415.75
VERELAN PM,22,58714.659999999996
LINDANE,23,55307.37
STIVARGA,132,19319122.759999998
AZACTAM-ISO-OSMOTIC DEXTROSE,8,52520.5
HUMALOG MIX 75-25 KWIKPEN,7915,131276379.4300002
CHLORTHALIDONE,37929,43098380.74000007
NEOMYCIN-BACITRACIN-POLYMYXIN,27,14524.069999999996
FUZEON,87,3761779.93
ESCITALOPRAM OXALATE,135208,105638908.81999958
RIBAVIRIN,748,3357145.959999998
DILATRATE-SR,18,37487.45
TESTRED,2,331079.05
DIHYDROERGOTAMINE MESYLATE,93,3605738.1300000004
DILAUDID-HP,1,1000.33
KLOR-CON SPRINKLE,5,2418.5299999999997
AMNESTEEM,17,60812.35999999999
ZENCHENT,57,19388.339999999993
CARBINOXAMINE MALEATE,126,87731.94000000005
DOXORUBICIN HCL LIPOSOME,2,101110.34
MAPROTILINE HCL,195,195152.33999999997
METFORMIN HCL ER,89362,135099762.94999897
MOXEZA,140,1011393.8300000002
KAZANO,150,909663.3999999999
DYMISTA,2909,12231992.880000016
SPRYCEL,1174,169053015.27000007
AMITIZA,20661,167766530.2099997
QUETIAPINE FUMARATE,104516,175693262.0899951
REQUIP XL,136,872417.69
STERILE PADS,3,362.75
GENERLAC,4069,1461221.5899999975
RYTARY,630,15710926.960000006
PIOGLITAZONE-METFORMIN,4606,17183120.319999993
TRAMADOL HCL-ACETAMINOPHEN,17609,11621999.359999977
AZOPT,9783,105979129.71999985
NAFCILLIN,2,19020.23
DIGOX,44529,53554954.03000026
PHOSLO,1,1409.76
GILDESS FE,490,120369.34000000004
NUVARING,223,322990.13000000006
NATELLE ONE,1,1580.83
DEXTROAMPHETAMINE-AMPHETAMINE,24550,46715855.980000034
ELIDEL,724,5958920.020000006
EXJADE,428,52517270.080000035
ROBINUL FORTE,1,3904.87
DEPAKOTE SPRINKLE,351,2102226.0000000014
RESERPINE,1,369.19
FE C PLUS,1,77.97
OXYCODONE HCL,99987,252391286.3999997
ULORIC,17597,134179789.7400011
UCERIS,284,6445389.580000001
EASY TOUCH INSULIN SAFETY,31,27937.049999999992
CYTOTEC,4,25180.51
ASTAGRAF XL,15,175163.18000000002
CALCIUM GLUCONATE,13,33696.28999999999
SURE-FINE PEN NEEDLES,8,3591.1899999999996
POTASSIUM ACETATE,7,8365.8
COLOCORT,10,14384.729999999998
SIGNIFOR,5,722503.97
JADENU,96,15674665.419999994
NORDITROPIN FLEXPRO,202,7622417.270000002
TETRACYCLINE HCL,145,658200.92
LITHIUM,241,139163.41999999987
HUMALOG,30255,357889502.590001
PHENTOLAMINE MESYLATE,2,8010.4800000000005
ZITHROMAX TRI-PAK,1,4913.64
OXISTAT,102,986889.1899999998
DEXAMETHASONE,15708,5714973.589999999
VALSARTAN-HYDROCHLOROTHIAZIDE,75773,105644047.15000062
NOVOLIN 70-30,18392,100073925.7299997
ACETIC ACID-ALUMINUM,54,68322.83
ALOSETRON HCL,31,677307.2699999999
FLONASE,5,6437.549999999999
DESLORATADINE,3328,2621640.7199999955
FETZIMA,2443,13814874.750000002
OCTAGAM,57,13012074.549999999
CEFAZOLIN SODIUM,643,765419.0299999998
HALOPERIDOL LACTATE,1341,759425.3599999985
LOPROX,1,8212.86
MULTIVITAMINS W-FLUORIDE-IRON,1,231.71
TESTOSTERONE CYPIONATE,10662,11595158.76000001
SYNERCID,2,50457.11
LIPITOR,2435,11114169.540000034
METHYLPHENIDATE ER,5340,21447369.780000012
WERA,13,3538.6800000000003
LEVONEST,62,14278.42
NAFTIFINE HCL,5,16459.92
BELLADONNA-OPIUM,4,36176.89
FLEBOGAMMA DIF,15,1065004.52
PNV 29-1,1,197.23
PRANDIN,184,1749306.2000000002
JANUVIA,94503,1910493980.9600072
DEXTROSE 5%-1/2NS-KCL,6,4937.68
GAMMAKED,99,19608125.65
BUTALB-ACETAMINOPH-CAFF-CODEIN,142,713142.8800000004
PROPARACAINE HCL,5,4589.08
HEPARIN SODIUM-D5W,1,975.0
ESTROPIPATE,1050,294287.54999999993
NP THYROID,124,32541.01999999999
VIRT-CAPS,4,1347.22
CARBAGLU,1,194234.5
TRANYLCYPROMINE SULFATE,425,1869998.9400000002
KARIVA,102,42029.06000000001
OMEPRAZOLE,248378,437690247.380002
NEOSPORIN G.U. IRRIGANT,15,36506.85
VANDAZOLE,17,18407.57
ALPRAZOLAM INTENSOL,8,15263.669999999998
ALCOHOL SWABS,1187,65122.84999999996
AMIKACIN SULFATE,369,567336.2000000001
FLURBIPROFEN SODIUM,432,344084.0999999998
ISOPTO ATROPINE,1,738.36
COLESTIPOL HCL,7259,14651612.000000013
DIPROLENE AF,1,2213.95
ETHAMBUTOL HCL,1570,2332937.4400000065
AMPYRA,2050,149492978.38999993
STAXYN,75,757749.9500000002
EMSAM,216,4213709.480000001
LANTUS SOLOSTAR,101227,2237688500.090016
METOPROLOL TARTRATE,212288,137174889.15999854
HYDROCODONE-CHLORPHENIRAMNE ER,3,4425.08
SYMBICORT,82340,1022760028.4600018
TOBRAMYCIN SULFATE,264,707416.4599999996
LEVEMIR,28656,383520033.4199998
ADAGEN,1,1193561.8
LIDOCAINE HCL,7114,2775851.9599999837
TAZORAC,104,819297.6800000002
METHSCOPOLAMINE BROMIDE,361,965986.5799999998
LABETALOL HCL,35984,41095270.110000044
CREON,11060,244331711.01000002
PRENATAL PLUS,1371,346141.47999999975
TOPOSAR,2,880.6800000000001
ROPINIROLE ER,2061,10585286.280000005
DEMADEX,29,59490.01999999998
PRENAISSANCE PLUS,2,1202.01
VICTOZA 3-PAK,17317,425265433.66000026
LIPOFEN,176,500739.33
URSODIOL,10072,82204502.8799997
ERYPED 400,61,1163520.48
RAYOS,84,3756296.77
ANZEMET,5,315802.22000000003
NPLATE,26,2816992.5000000005
PREVIFEM,207,37770.65000000003
CHLORHEXIDINE GLUCONATE,32196,6565621.850000025
ERYTHROCIN STEARATE,165,1051773.3399999996
CADUET,134,508161.6099999998
FINASTERIDE,86911,91615953.75000003
TRIPHROCAPS,7,2135.06
DESOGESTR-ETH ESTRAD ETH ESTRA,8,3743.0899999999997
NEULASTA,275,37367803.89999998
CLINIMIX,10,76164.81
MEGACE,3,4765.8
VALIUM,401,2266103.9000000004
LOFIBRA,18,32609.079999999994
EDARBYCLOR,1541,5779584.6600000085
ADVAIR HFA,9049,85435932.04999976
NOVOFINE,3013,2496700.540000006
DICLOXACILLIN SODIUM,672,408392.2799999998
FLUPHENAZINE DECANOATE,2164,8103901.530000009
LIALDA,6843,116572654.95999993
KLOR-CON M10,25974,13785906.079999965
DEXTROAMPHETAMINE-AMPHET ER,11076,39256103.180000044
UNIFINE PENTIPS PLUS,617,280320.12
NAPROXEN,90816,23244396.869999893
DEXTROSE 5%-0.225% NACL-KCL,1,94.66
CALCITRENE,1,12614.55
VALPROATE SODIUM,4,23725.93
CATAPRES,69,210503.03999999998
ESOMEPRAZOLE STRONTIUM,55,130973.46000000002
UMECTA,1,3700.94
ACZONE,26,128262.77999999998
TRIZIVIR,73,1614043.15
UROGESIC-BLUE,4,6525.400000000001
ALCOHOL WIPES,44,7256.96
METHAZOLAMIDE,1314,10895527.859999973
GILDAGIA,19,6324.040000000001
DIFLORASONE DIACETATE,231,1837590.7700000007
TAFINLAR,103,16083101.219999993
GRASTEK,6,23188.85
PROGESTERONE IN OIL,2,1998.9899999999998
ARCAPTA NEOHALER,258,1152266.8499999994
INCRUSE ELLIPTA,223,1045513.8999999994
ALOXI,58,1817747.91
VERAPAMIL ER,61525,37569156.19000003
PRAMOSONE,20,62186.740000000005
KETOPROFEN,574,5127191.549999998
AROMASIN,75,730148.9499999998
VITAFOL-ONE,3,4840.41
VIREAD,4773,130752617.98000014
REVATIO,181,11337520.009999998
RISPERDAL CONSTA,7696,238381943.07999933
MOVIPREP,3755,16348236.809999984
AK-POLY-BAC,73,27491.430000000008
ETODOLAC ER,1425,4160246.040000002
CERDELGA,6,2648323.39
NAMENDA XR,48232,860224729.1499993
BENZONATATE,263,126837.63000000006
ASMANEX,7003,34368434.429999985
VITEKTA,2,25183.07
LEVORPHANOL TARTRATE,76,1844032.1300000001
FOCALIN XR,113,564040.6700000002
VYVANSE,4235,21758607.12999999
NARATRIPTAN HCL,1163,1440742.1199999999
DUAVEE,90,220359.74000000002
MIRVASO,25,107171.21
HIZENTRA,250,25227870.38000001
PROPANTHELINE BROMIDE,61,49539.950000000004
AZITHROMYCIN,167298,56633509.89999931
MECLIZINE HCL,62255,29093564.9499997
GLIPIZIDE-METFORMIN,9214,19390649.47000009
PREZISTA,5120,383917838.3099995
FLAGYL,1,7010.52
MINOCIN,3,35310.38
AZURETTE,115,43610.70999999998
WARFARIN SODIUM,165964,178093073.93000007
DEXTROAMPHETAMINE SULFATE,1478,3819097.0500000077
CEFOXITIN,64,286414.56
VIRT-PN,1,627.77
MYALEPT,6,5023542.63
PENICILLIN G SODIUM,6,88035.20000000001
FLUOCINOLONE ACETONIDE,2914,9184081.470000016
ARISTADA,3,88676.81
TAMSULOSIN HCL,156479,410951158.1800051
DAPSONE,2567,2117610.6200000006
BRIELLYN,12,4149.38
ALDURAZYME,4,3090449.96
KELNOR 1-35,94,26916.58000000001
HUMATROPE,127,4126492.8600000003
QUASENSE,9,11273.110000000002
TELMISARTAN-HYDROCHLOROTHIAZID,5550,11774777.959999977
SIMPONI,889,67759982.64000003
POTASSIUM CITRATE-CITRIC ACID,5,6199.66
BRINTELLIX,5016,37024232.669999845
BD ULTRA-FINE PEN NEEDLE,74019,126524021.04000013
NUEDEXTA,6823,115669467.1299998
DEXTROSE 5%-0.2% NACL,4,4070.8100000000004
TRUEPLUS INSULIN SYRINGE,1126,448309.33999999985
CEFOTAXIME SODIUM,1,817.16
CLOTRIMAZOLE,11931,10373884.340000022
TOLAZAMIDE,11,11997.18
MIDAZOLAM HCL,133,73412.04
ELELYSO,5,2247401.32
HUMULIN N,14838,86326307.47000012
CONZIP,25,141601.33000000002
NECON,478,131652.33000000005
NEPHRO-VITE RX,6,1929.41
QUINIDINE GLUCONATE,175,1001568.4700000004
NILANDRON,66,6196153.389999998
SODIUM SULFACETAMIDE,5,5280.209999999999
PRENATE ELITE,1,1728.01
MIRCETTE,3,4650.81
LIVIXIL PAK,1,31430.69
ADVAIR DISKUS,120042,2038325949.889995
RIFAMATE,1,8599.0
PRAVACHOL,130,368553.98
RESTORIL,53,408040.8499999999
ZOVIA 1-35E,84,23201.910000000007
CARISOPRODOL COMPOUND-CODEINE,3,8774.85
NESINA,378,2425085.9000000022
DEXPAK,7,18464.21
GENTAMICIN SULFATE IN NS,28,9115.66
ZOCOR,513,1916013.0899999978
UROXATRAL,138,1078710.7700000007
DESOXIMETASONE,3905,13518661.169999968
ELIXOPHYLLIN,55,137003.77
METRO IV,4,1722.49
VESTURA,78,49400.689999999995
FASLODEX,83,2661976.77
MOVANTIK,366,1554549.0199999993
VIROPTIC,1,10791.25
THEO-24,1024,1833487.8200000024
DYRENIUM,355,1377155.96
KEPPRA,2510,61502707.43999981
LANOXIN,1359,2332472.990000002
TRAVOPROST,900,2844285.359999999
MARLISSA,57,12504.31
BETAPACE AF,34,239431.48999999993
GLUCAGON EMERGENCY KIT,1723,9836048.639999978
CORTIFOAM,35,319863.79999999993
PHENYTOIN SODIUM,4,11620.000000000002
ARNUITY ELLIPTA,21,65326.84999999999
NEOMYCIN-BACITRACIN-POLY-HC,24,15822.980000000003
MATZIM LA,1186,1528238.9799999977
AMIFOSTINE,1,38140.1
CAMRESE,1,882.11
CLEMASTINE FUMARATE,200,92991.03999999995
COREG,367,1098585.1599999992
RABAVERT,1,6444.03
GLASSIA,75,12039601.199999996
DESFERAL MESYLATE,3,29113.89
EXELDERM,11,40911.64000000001
NABI-HB,1,9060.45
LAMIVUDINE-ZIDOVUDINE,1743,20044372.810000006
SPIRONOLACTONE-HCTZ,7260,8668599.489999985
CHLOROTHIAZIDE,392,177576.5400000002
AMBIEN,818,4858836.970000008
HUMIRA PEN CROHN'S-UC-HS,2,205782.7
DOXY 100,36,194750.47000000003
CLARAVIS,24,128079.22
FLOMAX,57,211179.00000000003
RIBASPHERE RIBAPAK,142,2887419.6500000004
IXEMPRA,4,210801.39
FANAPT,2048,47025189.13000002
EXEMESTANE,5532,69546043.16000018
FYCOMPA,393,6502961.490000002
MYORISAN,4,14912.56
NALBUPHINE HCL,131,680599.9500000001
SODIUM SULFACETAMIDE-SULFUR,9,24281.98
CINRYZE,96,83356736.94999996
CORTISPORIN,26,72242.08
CEPHALEXIN,125402,25803060.28999968
VERAPAMIL ER PM,2705,3144681.279999989
TREXIMET,183,2182732.0400000005
NEVIRAPINE,1095,1702556.6699999955
MAGELLAN INSULIN SAFETY SYRNG,82,118631.58999999998
NEXIUM,107851,1761213922.3499799
MVC-FLUORIDE,2,278.28
C-NATE DHA,1,613.98
AMMONIUM LACTATE,14049,14947339.710000006
NORETHINDRON-ETHINYL ESTRADIOL,38,10215.38
EXTAVIA,162,9958264.939999998
SUCRALFATE,33755,30662118.46999988
DISOPYRAMIDE PHOSPHATE,643,703404.830000001
TETRACAINE HCL,2,646.93
KENALOG-10,3,1656.61
NITROFURANTOIN MONO-MACRO,44646,38080615.33000032
ZYMAXID,163,1321815.3900000001
THIOTHIXENE,3818,5647736.53
ERIVEDGE,146,23776136.270000003
BROMOCRIPTINE MESYLATE,1599,5872545.8
SUMAVEL DOSEPRO,79,1677067.2100000002
AGGRENOX,13867,109918277.97000049
DAKLINZA,53,20571755.76
ADEMPAS,433,97172180.17000005
CITALOPRAM HBR,158637,68292702.6000011
VERSACLOZ,33,1172584.41
DIHYDROCODEIN-ACETAMINOPH-CAFF,1,4592.97
TOBRADEX ST,101,351012.5700000001
ARTHROTEC 75,80,287105.43
HUMULIN R,10882,35921687.11000007
ZOMIG,179,1822420.32
IOPIDINE,10,44959.94
AMBIEN CR,787,3881900.910000003
DENAVIR,117,1422768.2099999995
RISPERIDONE ODT,2339,7869019.369999992
PRIMLEV,4,72308.89
XANAX XR,28,144623.28
SODIUM PHOSPHATE,5,14453.49
GLYXAMBI,43,357994.02999999997
FARESTON,51,928274.8899999998
CALAN,4,12534.03
ZIANA,2,15503.400000000001
COSOPT,383,1363569.4800000002
PRENATE AM,1,1329.11
FLAREX,29,32214.950000000004
EMTRIVA,965,8969928.069999982
REVLIMID,5450,1887150891.3800027
HALAVEN,2,97187.98000000001
EQUETRO,251,1287128.6099999999
ALCLOMETASONE DIPROPIONATE,673,1221079.0999999992
DESVENLAFAXINE ER,252,679777.9000000004
CEFAZOLIN SODIUM-DEXTROSE,13,6296.57
METHYLPREDNISOLONE,74023,50165010.92999952
METHOXSALEN,15,618013.85
SODIUM BICARBONATE,678,831306.8300000003
OLUX-E,1,9411.48
DEXEDRINE,77,1625027.2200000002
DEBLITANE,25,5515.86
MAGNESIUM SULFATE-D5W,3,5637.26
HALDOL DECANOATE 50,6,11014.48
ERYGEL,5,21757.75
PREMPHASE,98,164942.4100000001
CLINPRO 5000,7,998.29
ISONIAZID,918,136707.23
LISINOPRIL-HYDROCHLOROTHIAZIDE,129703,54910577.890000775
GLUCAGEN,1413,8089409.680000003
CEREBYX,1,16442.35
BICILLIN L-A,79,482303.17999999993
LOMEDIA 24 FE,11,9414.25
NISOLDIPINE,2056,7678538.59999999
EASY TOUCH INSULIN SYRINGE,81,24598.03
APIDRA,851,6312779.199999998
DOBUTAMINE HCL IN DEXTROSE,25,76768.92999999998
PROLENSA,3585,49640287.88999997
CYSTARAN,13,652661.8899999999
ALBUTEIN,4,23921.48
AMTURNIDE,2,3880.58
LEVETIRACETAM-NACL,2,8091.38
DEMECLOCYCLINE HCL,969,5391068.070000001
REPREXAIN,1,4762.35
VALGANCICLOVIR HCL,1216,90360305.61999983
KOMBIGLYZE XR,5085,40712178.900000006
LUDENT FLUORIDE,16,1685.6100000000001
YF-VAX,32,123700.40999999999
ZERBAXA,14,233253.83000000002
PAROXETINE HCL,113323,72188271.27000017
MERREM,2,11783.22
DEMEROL,150,248922.37999999992
PLETAL,19,25924.29
STROMECTOL,160,146768.33000000002
NAMENDA,49430,534300228.96000344
FORTAZ,1,221.34
MIMVEY,360,582139.6000000002
AUVI-Q,12,79569.06999999999
TRAZODONE HCL,166196,81796263.96000008
GLIPIZIDE XL,35578,19213642.4799999
DESVENLAFAXINE FUMARATE ER,2,3189.7
XYREM,707,131940955.68000002
JUBLIA,541,5635213.210000004
MEFLOQUINE HCL,57,53716.76000000001
METOCLOPRAMIDE HCL,37234,8263831.630000046
BRIMONIDINE TARTRATE,22355,74265984.8500002
MILRINONE IN 5% DEXTROSE,11,109412.76999999999
ABSTRAL,24,5244201.430000001
OXYCODONE HCL-IBUPROFEN,2,2017.21
GLUCOVANCE,64,111690.17000000003
VOTRIENT,466,61397305.710000016
CLINDAMYCIN PALMITATE HCL,4,10349.49
RAZADYNE ER,8,32276.549999999996
VIIBRYD,8798,41352427.449999966
VANCOMYCIN HCL,7628,38989074.94999999
XOLAIR,663,38839465.72000001
EPIPEN JR 2-PAK,2,10840.27
LOMUSTINE,7,7895.370000000001
XALKORI,213,37432400.499999985
CITRANATAL DHA,2,1747.92
KABIVEN,1,3030.32
DISULFIRAM,488,619261.5000000002
CARAC,43,1581215.5999999994
FOLIC ACID-VIT B6-VIT B12,1,113.73
PHENYTOIN,8600,7121851.509999983
DONEPEZIL HCL ODT,1739,1207039.209999999
PIMOZIDE,1,924.17
ANTARA,127,897398.1499999996
GUANIDINE HCL,1,768.34
NALTREXONE HCL,2750,3101115.6900000027
MINIVELLE,680,1624318.0599999998
SEROSTIM,193,68939941.72000001
COMPLERA,2162,148240321.32000017
AKYNZEO,10,90832.54
NEXAVAR,559,101117623.91000012
XIGDUO XR,62,343175.2
BREO ELLIPTA,10054,97456535.93999974
QUESTRAN,4,7408.05
OXYMORPHONE HCL,1796,10983168.000000015
SYNRIBO,8,689686.69
STALEVO 125,36,280587.5399999999
CIPROFLOXACIN HCL,161886,42172914.03999895
DETROL,21,59587.170000000006
LEUKERAN,300,2195619.6200000006
PREFEST,33,45030.770000000004
VALTREX,185,1063155.3499999999
ATACAND,469,778595.89
TETANUS TOXOID ADSORBED,5,4095.4400000000005
SRONYX,59,12723.849999999999
PEGANONE,31,143394.28999999995
SPIRIVA RESPIMAT,6477,63178794.14000027
TETANUS DIPHTHERIA TOXOIDS,128,96709.19000000005
KLOR-CON 10,15756,8330660.879999998
DRITHOCREME HP,1,1299.98
KENALOG,17,172605.2
SUPREP,6336,36225036.38999992
SIROLIMUS,587,9502324.16999999
NORTHERA,180,24718512.33999999
AZULFIDINE,19,35036.11
CYCLOSERINE,3,42866.37
PENTASA,3202,46945337.1600001
PHENTERMINE HCL,3,365.41
ALINIA,62,1259742.8800000004
EURAX,47,406966.94
PHENOBARBITAL SODIUM,4,48869.64
MICROGESTIN,190,49902.57000000002
NAPHAZOLINE HCL,534,338668.2199999999
VICODIN ES,593,1218671.9800000004
RILUZOLE,591,5366341.200000008
AZATHIOPRINE,11967,14859066.739999974
FORTESTA,27,166963.69999999998
SYPRINE,20,6700753.710000001
ARIPIPRAZOLE,28067,637809212.6300007
CEFUROXIME,24569,31638058.62000002
PREDNICARBATE,30,46705.14000000001
YASMIN 28,19,22837.47
PHENADOZ,149,370373.89999999985
SF 5000 PLUS,1016,140148.72999999998
VIMOVO,437,15009485.799999993
VIRT-PN DHA,5,3397.8999999999996
CLINISOL,355,2413954.099999999
HYDROCODONE-HOMATROPINE MBR,6,2294.4800000000005
PROZAC,655,5484817.5
VALPROIC ACID,10639,6796856.030000062
LAMOTRIGINE ER,2009,22850952.280000027
EPIVIR HBV,39,185387.5
SODIUM THIOSULFATE,1,2954.89
REMEVEN,2,1046.53
TYPHIM VI,96,376623.22000000003
ERYTHROCIN LACTOBIONATE,3,69795.32
MAXIPIME,6,3419.6200000000003
NOVOTWIST,749,683599.3100000006
PREZCOBIX,688,30609888.899999984
NITROGLYCERIN,635,2333067.4600000028
RELENZA,3,3386.2
APTIOM,606,13985766.050000012
SUCRAID,6,695238.0900000001
TILIA FE,34,18028.219999999998
LOSARTAN POTASSIUM,199709,213718336.9699986
METHENAMINE HIPPURATE,6806,19844173.479999963
INVOKANA,22624,316282282.9699996
MIRTAZAPINE,102111,88908724.8699999
CARBIDOPA-LEVODOPA ER,13119,27308307.229999866
AMOX TR-POTASSIUM CLAVULANATE,20,5533.7300000000005
DAYPRO,13,44062.82
METHADONE HCL,27159,31888021.819999937
